rank,birth_country,players_count,nations_represented
1,France,99,Algeria / Cape Verde / DR Congo / Egypt / France / Ghana / Haiti / Ivory Coast / Morocco / Qatar / Senegal / Spain / Tunisia
2,Netherlands,66,Algeria / Cape Verde / Curaçao / Ghana / Morocco / Netherlands / New Zealand / Tunisia / Turkey / United States
3,United Kingdom,63,Australia / Canada / DR Congo / England / Ghana / Iraq / New Zealand / Norway / Scotland / Switzerland / United States
4,Germany,49,Algeria / Bosnia and Herzegovina / Croatia / Ecuador / Germany / Iran / Iraq / Jordan / Senegal / South Korea / Tunisia / Turkey / United States
5,Spain,36,Argentina / Ecuador / Ghana / Mexico / Morocco / Spain / Uruguay
6,Belgium,36,Algeria / Australia / Belgium / DR Congo / Morocco / Qatar
7,Argentina,30,Argentina / Ecuador / Mexico / Paraguay / Uruguay
8,Sweden,30,Bosnia and Herzegovina / Iraq / Sweden / Tunisia / Turkey
9,Brazil,29,Brazil / Paraguay / Portugal / Qatar
10,Austria,29,Austria / Bosnia and Herzegovina / Croatia / Turkey
11,Switzerland,28,Bosnia and Herzegovina / DR Congo / Haiti / Portugal / Switzerland
12,United States,28,Bosnia and Herzegovina / Canada / Cape Verde / Haiti / Japan / Jordan / Mexico / United States / Uruguay
13,Portugal,28,Cape Verde / Portugal / Qatar
14,Saudi Arabia,27,Saudi Arabia / Tunisia
15,Colombia,27,Colombia / Mexico
16,Czech Republic,26,Czech Republic
17,Panama,26,Panama
18,Iran,25,Iran
19,Japan,25,Japan
20,South Korea,25,South Korea
21,South Africa,25,South Africa
22,Egypt,25,Egypt / Qatar
23,Jordan,24,Jordan
24,Uruguay,24,Paraguay / Uruguay
25,Norway,24,Iraq / Norway / Tunisia
26,Uzbekistan,23,Germany / Uzbekistan
27,Canada,22,Canada / Haiti / Morocco / Tunisia
28,Ecuador,22,Ecuador
29,Mexico,21,Mexico / United States
30,Paraguay,21,Paraguay
31,Australia,20,Australia / New Zealand / Scotland
32,New Zealand,20,New Zealand
33,Ivory Coast,19,Canada / England / Ivory Coast
34,Ghana,18,Ghana / Qatar
35,Croatia,17,Bosnia and Herzegovina / Croatia
36,Iraq,16,Iraq
37,Qatar,16,Qatar
38,Senegal,16,Belgium / Qatar / Senegal
39,Turkey,16,Turkey
40,Bosnia and Herzegovina,13,Bosnia and Herzegovina / Croatia
41,],12,Austria / Bosnia and Herzegovina / Croatia / Ecuador / Ghana / Iraq / Mexico / Norway / Qatar / Scotland / Senegal / United States
42,Cape Verde,12,Cape Verde
43,Algeria,11,Algeria / Qatar
44,Tunisia,11,Tunisia
45,Haiti,10,Haiti
46,Morocco,7,Morocco
47,Democratic Republic of the Congo,5,DR Congo
48,England,5,Canada / England / France / Scotland
49,Italy,3,Argentina / Australia / France
50,Soviet Union,3,Uzbekistan
51,Denmark,3,Bosnia and Herzegovina / Iraq / Tunisia
52,Cameroon,2,Switzerland
53,Scotland,2,Scotland
54,Slovenia,1,Bosnia and Herzegovina
55,Nigeria,1,Canada
56,Sudan,1,Qatar
57,U.S.,1,Mexico
58,Serbia,1,Bosnia and Herzegovina
59,Isle of Man,1,Scotland
60,[a],1,Australia
61,Guinea,1,Australia
62,Kenya,1,Australia
63,Tanzania,1,Australia
64,Burkina Faso,1,Ivory Coast
65,Kingdom of the Netherlands,1,Curaçao
66,Curaçao,1,Curaçao
67,Zambia,1,Netherlands
68,Ireland,1,Cape Verde
69,Republic of the Congo,1,France
70,Kazakhstan,1,Uzbekistan
71,DR Congo,1,DR Congo
