nation,nation_code,pos,player,birth_date,birth_city,birth_country,caps,club
Czech Republic,,1 GK,Matěj Kovář,"May 17, 2000",Uherské Hradiště,Czech Republic,19,PSV Eindhoven
Czech Republic,,2 DF,David Zima,"November 8, 2000",Olomouc,Czech Republic,24,Slavia Prague
Czech Republic,,2 DF,Tomáš Holeš,"March 31, 1993",Polička,Czech Republic,40,Slavia Prague
Czech Republic,,2 DF,Robin Hranáč,"January 29, 2000",Plzeň,Czech Republic,13,TSG Hoffenheim
Czech Republic,,2 DF,Vladimír Coufal,"August 22, 1992",Prague,Czech Republic,61,TSG Hoffenheim
Czech Republic,,2 DF,Štěpán Chaloupek,"March 8, 2003",Meziboří,Czech Republic,4,Slavia Prague
Czech Republic,,2 DF,Ladislav Krejčí,"April 20, 1999",Rosice,Czech Republic,26,Wolverhampton Wanderers
Czech Republic,,3 MF,Vladimír Darida,"August 8, 1990",Plzeň,Czech Republic,78,Hradec Králové
Czech Republic,,4 FW,Adam Hložek,"July 25, 2002",Ivančice,Czech Republic,42,TSG Hoffenheim
Czech Republic,,4 FW,Patrik Schick,"January 24, 1996",Prague,Czech Republic,52,Bayer Leverkusen
Czech Republic,,4 FW,Jan Kuchta,"January 8, 1997",Liberec,Czech Republic,31,Sparta Prague
Czech Republic,,3 MF,Lukáš Červ,"April 10, 2001",Prague,Czech Republic,16,Viktoria Plzeň
Czech Republic,,4 FW,Mojmír Chytil,"April 29, 1999",Skalka,Czech Republic,22,Slavia Prague
Czech Republic,,2 DF,David Jurásek,"August 7, 2000",Dolní Němčí,Czech Republic,17,Slavia Prague
Czech Republic,,4 FW,Pavel Šulc,"December 29, 2000",Karlovy Vary,Czech Republic,20,Lyon
Czech Republic,,1 GK,Jindřich Staněk,"April 27, 1996",Strakonice,Czech Republic,14,Slavia Prague
Czech Republic,,3 MF,Lukáš Provod,"October 23, 1996",Plzeň,Czech Republic,37,Slavia Prague
Czech Republic,,3 MF,Michal Sadílek,"May 31, 1999",Uherské Hradiště,Czech Republic,34,Slavia Prague
Czech Republic,,4 FW,Tomáš Chorý,"January 26, 1995",Olomouc,Czech Republic,21,Slavia Prague
Czech Republic,,2 DF,Jaroslav Zelený,"August 20, 1992",Hradec Králové,Czech Republic,22,Sparta Prague
Czech Republic,,2 DF,David Douděra,"May 31, 1998",Brandýs nad Labem-Stará Boleslav,Czech Republic,16,Slavia Prague
Czech Republic,,3 MF,Tomáš Souček,"February 27, 1995",Havlíčkův Brod,Czech Republic,89,West Ham United
Czech Republic,,1 GK,Lukáš Horníček,"July 13, 2002",Vysoké Mýto,Czech Republic,1,Braga
Czech Republic,,3 MF,Alexandr Sojka,"April 2, 2003",Klatovy,Czech Republic,1,Viktoria Plzeň
Czech Republic,,3 MF,Hugo Sochůrek,"June 7, 2008",Tábor,Czech Republic,1,Sparta Prague
Czech Republic,,4 FW,Denis Višinský,"March 21, 2003",Mělník,Czech Republic,1,Viktoria Plzeň
Mexico,,1 GK,Raúl Rangel,"February 25, 2000",Zapotlán el Grande Municipality,Mexico,13,Guadalajara
Mexico,,2 DF,Jorge Sánchez,"December 10, 1997",Torreón,Mexico,58,PAOK
Mexico,,2 DF,César Montes,"February 24, 1997",Hermosillo,Mexico,66,Lokomotiv Moscow
Mexico,,2 DF,Edson Álvarez,"October 24, 1997",Tlalnepantla,Mexico,97,Fenerbahçe
Mexico,,2 DF,Johan Vásquez,"October 22, 1998",Navojoa,Mexico,45,Genoa
Mexico,,3 MF,Érik Lira,"May 8, 2000",Cuauhtémoc,Mexico,24,Cruz Azul
Mexico,,3 MF,Luis Romo,"June 5, 1995",Ahome Municipality,Mexico,62,Guadalajara
Mexico,,3 MF,Álvaro Fidalgo,"April 9, 1997",Oviedo,Spain,3,Real Betis
Mexico,,4 FW,Raúl Jiménez,"May 5, 1991",Tepeji del Río de Ocampo Municipality,Mexico,123,Fulham
Mexico,,4 FW,Alexis Vega,"November 25, 1997",Cuauhtémoc,Mexico,51,Toluca
Mexico,,4 FW,Santiago Giménez,"April 18, 2001",Buenos Aires,Argentina,47,Milan
Mexico,,1 GK,Carlos Acevedo,"April 19, 1996",Torreón,Mexico,7,Santos Laguna
Mexico,,1 GK,Guillermo Ochoa,"July 13, 1985",Guadalajara,Mexico,152,AEL Limassol
Mexico,,4 FW,Armando González,"April 20, 2003",Celaya,],7,Guadalajara
Mexico,,2 DF,Israel Reyes,"May 23, 2000",Autlán de Navarro Municipality,Mexico,33,América
Mexico,,4 FW,Julián Quiñones,"March 24, 1997",Magüí Payán,Colombia,21,Al-Qadsiah
Mexico,,3 MF,Orbelín Pineda,"March 24, 1996",Coyuca de Catalán Municipality,Mexico,91,AEK Athens
Mexico,,3 MF,Obed Vargas,"August 5, 2005",Anchorage,United States,6,Atlético Madrid
Mexico,,3 MF,Gilberto Mora,"October 14, 2008",Tuxtla Gutiérrez,Mexico,7,Tijuana
Mexico,,2 DF,Mateo Chávez,"May 12, 2004",Monterrey,Mexico,9,AZ
Mexico,,4 FW,César Huerta,"December 3, 2000",Guadalajara,Mexico,26,Anderlecht
Mexico,,4 FW,Guillermo Martínez,"March 15, 1995",Celaya,Mexico,11,UNAM
